Actinomyces Israelii,"222,262,2154,",BIO 
Trichophyton Rubrum,"752,923,",BIO 
Trichophyton,"132,812,2422,9493,",BIO 
Trypanosoma Gambiense,"255,316,",BIO 
Tuberculosis Bovine,"523,3353,",BIO 
Tuberculosis Klebsiella,"221,1132,1644,2313,6516,",BIO 
Tumor Brain,"543,641,857,",BIO 
Ulcer Ventricular,"232,1000,",BIO 
Uterine Polyp,"689,",BIO 
Vaccininum,"476,",BIO 
Varicella,"345,668,716,738,",BIO 
Variola,"142,476,511,876,1644,2132,2544,",BIO 
Variolinum,"542,569,832,3222,",BIO 
Verruca,"644,767,953,",BIO 
Werlhof,"690,",BIO 
Wolhynia Fever,"547,",BIO 
Yersinia Pestis,"333,",BIO 