Ammonia Remove,"1719.51,",CUST 
Candida Organ Support,"23958,24354,28251,29766,32121,32670,36735,38281,44506,44583,45549,45738,54531,56133,56376,57519,58806,63336,67977,71874,84942,86394,87000,89298,",CUST 
Candida,"4640,",CUST 
Cartilage and Connective Tissue,"1028,",CUST 
Chakra 2 Chain,"456,606,364,256,384,288,432,360,288,384,256,364,606",CUST 
Circulation Disturbances,"9.39,9.5,40,95,125,160,200,2112,2145,2489,2720,",CUST 
Clark 2.5KHz Zapper Contact,"2500,420,5O100,0,1260,2500,420,0,1260,2500,420,",CUST 
Clark 2.5KHz Zapper Remote,"2500,4200,5O100,250000,12600,2500,4200,250000,12600,2500,4200,250000,12600,50,10800,",CUST 
Clark 30KHz Zapper Contact,"30000,420,5O100,0,1260,30000,420,0,1260,30000,420,",CUST 
Clark 30KHz Zapper Remote,"30000,4200,5O100,250000,12600,30000,4200,250000,12600,30000,4200,250000,12600,50,10800,",CUST 
Clark Dual Spectrum Zapper Remote,"2500,4200,5O100,250000,12600,2500,4200,250000,12600,2500,4200,250000,12600,50,10800,",CUST 
Clark Dual Zapper Contact,"2500,420,5O100,0,1260,2500,420,0,1260,2500,420,",CUST 
Clark Dual Zapper Remote,"2500,4200,5O100,250000,12600,2500,4200,250000,12600,2500,4200,250000,12600,50,10800,",CUST 
Colloidal Gold Octal,"7205251.195738,3602625.597869,",CUST 
Colloidal Gold Scalar,"7364246.875738,366644.262680,",CUST 
Colloidal Silver and Gold Octal,"9088.655073,7036.378121,1173.892841,908.820264,",CUST 
Colloidal Silver and Gold Scalar,"7364246.875738,473582.172629,366644.262680,23578.268006,",CUST 
Colloidal Silver and Gold Sub-1MHz,"900656.399467,581673.924656,473582.172629,366644.262680,",CUST 
Colloidal Silver and Gold Sub-10KHz,"72709.240582,56291.024967,23578.268006,18254.142973,",CUST 
Colloidal Silver and Gold Sub-100KHz,"72709.240582,56291.024967,23578.268006,18254.142973,",CUST 
Colloidal Silver Generate,"1000,1800,10000,1800,",CUST 
Colloidal Silver Octal,"4653391.397248,2326695.698624,",CUST 
Colloidal Silver Scalar,"473582.172629,23578.268006,",CUST 
Cytomegalovirus CMV 1,"249,360 D50,418,360,647,360,799877.8777,799877.87,799877.88,799877.4-799878.4,1000,677787.7878,677787.78,677787.79,677787.3-677788.3,1000,77665.5666,77665.56,77665.57,77665-77666,1000,",CUST 
Cytomegalovirus CMV 2,"68, 72,70,120,126,249,360,418,360,597,629,647,360,682,850,999.79,1045,2144,2145,2146,6380-6418,600,6689-6754,720,8848,8856,9500,11856,11881,12144,12146.5,12146.75,12191.25,12537,12604.69,20757,88000,141200,297500,409000,600,425950,675310,827000,20330-20451,2420,1012,1019,1750,3190,3209,1900,",CUST 
Detox EMF,"99.5,",CUST 
Detox SSRI Benzo,"7676767.6666,50,7676767.66,7676767.67,7676767.2-7676768.2,1000,7776765.6666,7776765.66,7776765.67,7776765.2-7776766.2,1000,",CUST 
DNA Create New,"7,",CUST 
Ebola 1,"30,1200,15200,35000,22500,25665,4000,36827,38660,37357,",CUST 
Ebola 2,"2890,5950,27875,30000,38567,25000,23110,35200,27747,37998,",CUST 
Ehrlichia 3,"76,308,375,468,521.2,570,788,862,943,1583,1584,2084.8,",CUST 
Ehrlichia 4,"129,521.2,523,549,607,632,720,726,943,1062,1357,2084.8,",CUST 
Ehrlichia 5,"7989,4880,4870,1590,1455,4996.9,5054.9,884,846,797,758,693,673,579,578,577,422,417,239,128,",CUST 
Ehrlichia Lyme,"395,",CUST 
Energy Vitality 3,"10000,",CUST 
Epstein Barr Virus Lyme,"880,",CUST 
Essential Oil - Abundance,"19500000,",CUST 
Essential Oil - Acceptance,"12750000,",CUST 
Essential Oil - Angelica,"21250000,",CUST 
Essential Oil - Aroma Life,"21000000,",CUST 
Essential Oil - Aroma Siez,"16000000,",CUST 
Essential Oil - Awaken,"22250000,",CUST 
Essential Oil - Basil,"13000000,",CUST 
Essential Oil - Blue Tansy,"13125000,",CUST 
Essential Oil - Brain Power,"19500000,",CUST 
Essential Oil - Chamomile,German","13125000,",CUST 
Essential Oil - Christmas Spirit,"13000000,",CUST 
Essential Oil - Citrus Fresh,"22500000,",CUST 
Essential Oil - Clarity,"12625000,",CUST 
Essential Oil - Di-Gise,"12750000,",CUST 
Essential Oil - Dragon Time,"18000000,",CUST 
Essential Oil - Dream Catcher,"24500000,",CUST 
Essential Oil - En-R-Gee,"13250000,",CUST 
Essential Oil - EndoFlex,"17250000,",CUST 
Essential Oil - Envision,"22500000,",CUST 
Essential Oil - Exodus II,"22500000,",CUST 
Essential Oil - Forgiveness,"24000000,",CUST 
Essential Oil - Frankincense,"18375000,",CUST 
Essential Oil - Galbanum,"14000000,",CUST 
Essential Oil - Gathering,"24750000,",CUST 
Essential Oil - Gentle Baby,"19000000,",CUST 
Essential Oil - Grounding,"17500000,",CUST 
Essential Oil - Harmony,"12625000,",CUST 
Essential Oil - Helichrysum,"22625000,",CUST 
Essential Oil - Hope,"24500000,",CUST 
Essential Oil - Humility,"22000000,",CUST 
Essential Oil - Immupower,"22250000,",CUST 
Essential Oil - Inner Child,"24500000,",CUST 
Essential Oil - Inspiration,"17625000,",CUST 
Essential Oil - Into the Future,"22000000,",CUST 
Essential Oil - Joy,"23500000,",CUST 
Essential Oil - Juniper,"24500000,",CUST 
Essential Oil - Juva Flex,"20500000,",CUST 
Essential Oil - Lavender,"14750000,",CUST 
Essential Oil - Lemon,"19000000,",CUST 
Essential Oil - Live With Passion,"22250000,",CUST 
Essential Oil - M-Grain,"18000000,",CUST 
Essential Oil - Magnify Your Purpose,"24750000,",CUST 
Essential Oil - Melissa,"12750000,",CUST 
Essential Oil - Melrose,"24000000,",CUST 
Essential Oil - Mister,"18375000,",CUST 
Essential Oil - Motivation,"12875000,",CUST 
Essential Oil - Myrrh,"13125000,",CUST 
Essential Oil - PanAway,"14000000,",CUST 
Essential Oil - Peace & Calming,"13125000,",CUST 
Essential Oil - Peppermint,"19500000,",CUST 
Essential Oil - Present Time,"24500000,",CUST 
Essential Oil - Purification,"23000000,",CUST 
Essential Oil - Raven,"17500000,",CUST 
Essential Oil - Ravensara,"16750000,",CUST 
Essential Oil - RC,"18750000,",CUST 
Essential Oil - Release,"12750000,",CUST 
Essential Oil - Relieve It,"14000000,",CUST 
Essential Oil - Rose,"20000000,",CUST 
Essential Oil - Sacred Mountain,"22000000,",CUST 
Essential Oil - Sandalwood,"24000000,",CUST 
Essential Oil - SARA,"12750000,",CUST 
Essential Oil - Sensation,"22000000,",CUST 
Essential Oil - Surrender,"24500000,",CUST 
Essential Oil - Thieves,"18750000,",CUST 
Essential Oil - Three Wise Men,"18000000,",CUST 
Essential Oil - Trauma Life,"23000000,",CUST 
Essential Oil - Valor,"23500000,",CUST 
Essential Oil - White Angelica,"22250000,",CUST 
Fractures Bone,Bone,"1028,",CUST 
Fungus Black Nail,"612,644,766,1000,190,465,",CUST 
Gastroenteritis Calicivirus,"30,475,575,2750,5250,6250,9750,360,1500,362.5,",CUST 
General Cleanser,"337,464,467,576,688,728,786,803,856,882,912,1554,1862,2128,3337,5762,6667,",CUST 
Goiter 3,"20,160,660,690,727.5,787,880,16000,",CUST 
Healing Special,"5.8,8.01,9.6,59.3,148,216,266,2720,3000,20000,",CUST 
Herpes General,"1552,2489,2950,2347,",CUST 
HHV5 2,"20362.91,1013.81,12537,41514,47425,47524,48579,48586,48587,48765,",CUST 
HHV5,"126,597,629,682,1045,2145,8848,8856,",CUST 
HHV6,"228,1820,3640.1,7281,",CUST 
Insomnia Secondary/Hypoglycemia,"2.5,0.512,31.32,0.512",CUST 
Iodine,"2030.464,",CUST 
Kidney 4,"248,463,522,622,658,917,932,1865,3374,5162,",CUST 
Leaky Gut Sweep,"6033,300,6027-6040,1300,",CUST 
Listeria Monocytogenes,"377,471,626,628,634,714,724,744,2162,7867,",CUST 
Liver 4,"337,463,574,668,787,803,912,1862,3337,5546,",CUST 
Lyme Disease W1,"337,463,467,576,688,728,786,803,856,882,912,1554,1862,2128,3337,5762,6667,",CUST 
Lyme Disease W2,"611,615,625,650,673,690,724,736,783,786,787,789,793,796,787,",CUST 
Lyme Disease W3,"799,803,840,847,1087,1455,2016,2050,4320,6870,",CUST 
Lyme Doug's,"20,27,305,306,432,610,611,612,625,727,787,802,880,920,4200,4320,10000,",CUST 
Lyme Envita,"1550,803,8300,800,8020,880,8450,784,7870,728,7270,444,20,31930.4,38934.1,",CUST 
Lyme Envita,"1550,803,8300,800,8020,880,8450,784,7870,728,7270,444,20,31930.4,38934.1,",CUST 
Lyme General,"2016,2016.44,612,432,432.89,686868.7777,",CUST 
Lyme Herxheimer Helper 1,"10000,880,787,727,522,3,300,330,146,555,33,12595,72,444,1865,20,",CUST 
Lyme Herxheimer Helper 2,"444,148,555,333,10000,880,787,727,125,95,72,522,146,20,",CUST 
Lyme Main Co-infections,"2016,364,570,5776,",CUST 
Lymph 4,"146,346,428,596,767,982,1078,3176,5443,8846,",CUST 
Memory and Test-taking Improve,"398,",CUST 
Minerals - Boron,"320,600,",CUST 
Minerals - Calcium,"320,600,",CUST 
Minerals - Cesium,"440,600,",CUST 
Minerals - Chromium,"384,600,",CUST 
Minerals - Copper,"464,600,",CUST 
Minerals - Gold,"316,600,",CUST 
Minerals - Iodine 1,"424,600,",CUST 
Minerals - Iodine 2,"53,20.007,425.89,459.12,",CUST 
Minerals - Iron,"416,600,",CUST 
Minerals - Magnesium,"384,600,",CUST 
Minerals - Manganese,"400,600,",CUST 
Minerals - Molybdenum,"336,600,",CUST 
Minerals - Phosphorus,"480,600,",CUST 
Minerals - Platinum,"312,600,",CUST 
Minerals - Potassium,"304,600,",CUST 
Minerals - Rhodium,"45,3.172,67.52,72.79,",CUST 
Minerals - Selenium,"272,600,",CUST 
Minerals - Silica,"448,600,",CUST 
Minerals - Silver,"376,600,",CUST 
Minerals - Sodium,"352,600,",CUST 
Minerals - Sulfur,"256,600,",CUST 
Minerals - Vanadium,"368,600,",CUST 
Minerals - Zinc 1,"480,600,",CUST 
Minerals - Zinc 2,"30,6.254,133.13,143.52,",CUST 
Morgellons 40KHz General,"40000,",CUST 
Morgellons Bartonella Rochalimae,"66697.6755,",CUST 
Morgellons Bartonella Toxin,"7776665.6666,",CUST 
Morgellons Chronic Lesions and Fibres,"5100,10880,10800,27860,31167,27320,39392,36900,39776,37500,",CUST 
Morgellons Collembola Comp,"70,50,700,907500,90,111,2100,69,71,500,699,701,500,907480,907520,2000,",CUST 
Morgellons Collembola Sweep,"907450,907500,3600,",CUST 
Morgellons Collembola,"70,700,907500,90,110,1800,",CUST 
Morgellons Expeller,"2014,",CUST 
Morgellons General,"888,751,",CUST 
Morgellons Int and Ext,"2560,5100,35000,27500,27860,31167,36827,29095,39776,37500,",CUST 
Morgellons Internal,"2560,5100,10880,10800,35000,27500,27860,36827,29095,39776,",CUST 
Morgellons Leishmania Amastigote,"565555.5544,",CUST 
Morgellons Myiasis,"19,507,840,960,013,900,000,000,000,000,000,000,000,000,000,000",CUST 
Morgellons Nancy DB,"200.2,520.2,941.6,6270.2,13254.6,32273.4,",CUST 
Morgellons Plastics Detox,"7755766.6555,360,67553.6343,900,54423.7760,240,",CUST 
Morgellons Ruko Tick,"286.46,308.66,6634.7,",CUST 
Morgellons Silicone Detox,"787998.7877,",CUST 
Morgellons Skin Itch,"37500,",CUST 
Morgellons Slime Molds 1,"81000,126000,21100,",CUST 
Morgellons Slime Molds Sweep,"145286.417,146713.583,",CUST 
Morgellons Smart Dust,"55454.5454,",CUST 
Mycobacterium Infections,"60,5440,9600,35440,37040,25714,438800,30300,38000,40000,",CUST 
Mycoplasma Lyme Disease,"660,690,728,254,484,610,644,790,864,986,2900,",CUST 
Mycoplasma Virus,"388.6,543.6,777.2,1087.2,1554.5,2174.3,3109,4348.6,6217.9,",CUST 
Nitric Oxide Generate,"32,64,128",CUST 
Nogier A,"2.28,293.625,",CUST 
Nogier B,"4.56,587.25,",CUST 
Nogier C,"9.12,1174.5,",CUST 
Nogier D,"18.25,2349,",CUST 
Nogier E,"36.5,4698,",CUST 
Nogier F,"73,73.406,",CUST 
Nogier G,"147,146.812,",CUST 
Nogier U,"1.14,",CUST 
Onchocerciasis 2,"2250,720,13600,15000,40000,31477,39660,10300,36469,35444,",CUST 
Oxygen,"5.772,",CUST 
Ozone Generate,"78,16,15.99",CUST 
Parasites and Amoebas 4,"1865,444,125,95,72,20,",CUST 
Parasites General 4,"187,294,387,453,562,697,752,772,844,947,1113,3437,",CUST 
Parasites Ropeworm,"1359,",CUST 
Pause 1 Day (Remote),0,CUST 
Pause 1 Hour (Remote),0,CUST 
Pleural Effusion,"787,474,612,361,",CUST 
Program Finale 4,"465,",CUST 
Proteus Mirabilis 1,"20034.38,20375,20250,794.55,808.07,803.12,",CUST 
Proteus Mirabilis 2,"16131.01,803.12,",CUST 
Protomyxzoa Rheumatica,"1583,515,515-521,1260,",CUST 
Pseudomonas Aeruginosa Wound,"20703.13,20912.5,20812.5,821.09,829.38,825.41,",CUST 
Pseudomyxoma Peritonei 1,"80,4160,10400,35000,21060,35830,20590,39907,38400,36800,",CUST 
Sacroiliac Joint Dysfunction,"110,240,570,38830,222720,317500,431200,572500,695670,905620,",CUST 
Serotonin,"2.5,10,80,160,",CUST 
Signal Test,"50,",CUST 
Sleep to Induce,"1 W1,3 W1,3-1,300 W1,",CUST 
Sodium Chloride,"29.22,",CUST 
Spine Problems A,432,"128.43,144.16,161.82,171.44,192.43,216,242.45,136.07,152.74,181.63,203.88,228.84,",CUST 
Spine Problems A,440,"130.81,146.83,164.81,174.61,196,220.2,246.94,138.57,155.56,185,207.65,233.08,",CUST 
Spooky Converge Sweep,"1595645.833-1662479.167,15080 W1 G0 A20 O0,",CUST 
Spooky Spectrum Sweep,"1595645.833-1662479.167,15080 W1 G0 A20 O0,",CUST 
Stachybotrys Chartarum,"540.1,577.9,604.39,747.39,764.5,765,844,922.2,952.39,969.6,",CUST 
Staphylococcus Aureus CA/HA Octal,"9504799.449697,4752399.724849,",CUST 
Staphylococcus Aureus CA/HA Scalar,"9714538.431825,483658.389067,",CUST 
Staphylococcus Aureus CA/HA Wavelength,"L470,",CUST 
Staphylococcus Virus,"563,611,727,",CUST 
Streptococcus Sweep TR,"5632.8152-5763,5763-6053.125,",CUST 
Tendonitis and Tibialis Posterior,"120,300,12710,50000,150000,358570,479500,527000,662710,749000,986220,20,727,787,880,5000,2008",CUST 
Throat and Lymph Nodes,"20,146,380,440,522,660,690,727.5,760,776,784,802,1550,880,1600,",CUST 
Thyroid Balance and Normalize 1,"160,763,660,690,727.5,",CUST 
Thyroid Balance and Normalize 2,"20,537,1570,10000,16000,",CUST 
Thyroid Gland Fever,"20,160,660,690,727.5,1570,10000,16000,",CUST 
Thyroid Support,"160,",CUST 
Tumor Staphylococcus Aureus,"424,478,555,644,647,727,728,738,745,784,787,824,943,999,1050,7270,8697,",CUST 
Valley Fever 4,"80000,2400,336,337,",CUST 
Virus General 4,"344,447,564,633,834,944,3443,6534,7884,10423,12534,17884,21436,",CUST 
Vitamin A Deficiency,"2100,9120,15200,23500,33297,28750,26440,22530,38183,33170,",CUST 
Vitamin B12 Deficiency,"50,6560,16000,22500,32500,35925,36400,38279,37240,38705,",CUST 
Vitamin C Deficiency,"2100,11680,29500,23750,15420,34065,5009,39375,36000,39923,",CUST 
Vitamin D Deficiency,"2890,3740,9920,33270,40000,28750,25000,37233,34000,",CUST 
(Avitaminosis),"2400,4420,7360,15000,37500,28750,33333,26875,22530,38797,",CUST 
Wide Spectrum Antibiotic 4,"727,787,802,880,465,",CUST 
