Actinobacillus,Respiratory,"773,",VEGA 
Actinomyces Israelii,"262,2154,",VEGA 
Psorinum,"786,",VEGA 
Pullularia Pullulans,"1364,",VEGA 
Pyoderma,"123,",VEGA 
Pyrogenium 62,"429,",VEGA 
Q Fever,"1357,",VEGA 
Reproductive,"622,",VEGA 
Rhesus Gravidatum,"684,",VEGA 
Rheuma,"952,",VEGA 
Rheumaticus,"376,",VEGA 
Rhinopneumonitis,"185,367,820,",VEGA 
Rhizopus Nigricans,"132,",VEGA 
Rhodo Torula,"833,",VEGA 
Rhodococcus,"124,835,",VEGA 
Rickettsia,"129,943,",VEGA 
Rita Livingston,"636,700,832,3734,",VEGA 
Rocky Mountain Spotted Fever,"943,",VEGA 
Round Worms,"650,",VEGA 
Rubella Vaccine,"459,",VEGA 
Rubella,"431,",VEGA 
Salmonella B,"546,1634,",VEGA 
Salmonella Paratyphi B,"717,643,972,707,59,92,7771,",VEGA 
Salmonella,"1522,",VEGA 
Schistosoma Haematobium,"847,",VEGA 
Schistosoma Mansoni,"329,",VEGA 
Schuman B Cell,"322,425,561,600,620,623,780,781,950,952,1023,1524,",VEGA 
Serum Schweinepest,"503,",VEGA 
Smegma,"180,",VEGA 
Solitary Cyst,"75,",VEGA 
Spanish Flu,"462,",VEGA 
Sporotrichum Pruinosum,"755,",VEGA 
Staphylococcus Aureus,"727,943,",VEGA 
Staphylococcus Coagulae Positive,"643,",VEGA 
Stemphylium,"461,",VEGA 
Streptococcus Haemolytic,"535,1522,",VEGA 
Streptococcus Virus,"727,",VEGA 
Streptomyces Griseus,"887,",VEGA 
Strongyloides,"332,422,721,942,3212,",VEGA 
Struma Nodosa,"122,321,517,532,651,",VEGA 
Swine Flu,"432,839,",VEGA 
T-cell Leukemia,"222,262,822,3042,3734,",VEGA 
Taenia,"187,",VEGA 
Tapeworm,"522,562,843,1223,3032,5522,",VEGA 
TB Aviare,"532,",VEGA 
TB Klebsiella,"221,1132,1644,2313,6516,",VEGA 
Tetanus,"554,",VEGA 
Tetragenus,"393,2712,",VEGA 
Threadworm,"423,732,4412,",VEGA 
Tonsillar Pfropfe,"246,",VEGA 
Tonsillitis,"452,",VEGA 
Torulopsis,"522,2121,",VEGA 
Toxoplasmosis,"434,852,",VEGA 
Trichinosis,"541,1372,",VEGA 
Trichophyton Mentagrophytes,"311,",VEGA 
Trichophyton Tonsurans,"765,",VEGA 
Tuberculinum,"522,",VEGA 
Tularamia,"324,427,823,",VEGA 
Uterus Polyp,"689,",VEGA 
Vapch Grippe,"153,343,",VEGA 
Varicella,"345,668,716,",VEGA 
Variola,"511,2132,2544,876,",VEGA 
Variolinum,"542,832,3222,",VEGA 
Yeast Ultimate,"72,422,582,787,1016,2222,",VEGA 
Yellow Fever,"432,734,",VEGA 
